id_client;genre;langue;date_début;province;CLCODP;âge;état_civil;dépendants;résidence;occupation
cli_id_00001;F;FRANCAIS;01MAY1994:00:00:00;QC;J3A;86;VEUF;0;PROPRIETAIRE;AUTRES
cli_id_00002;M;FRANCAIS;01NOV1987:00:00:00;QC;J2N;58;AUTRES;0;PROPRIETAIRE;ADMINISTRATEUR
cli_id_00003;F;FRANCAIS;01APR1994:00:00:00;QC;G1G;56;MARIE;0;PROPRIETAIRE;EMPLOYE DE BUREAU
cli_id_00004;M;FRANCAIS;01MAR2011:00:00:00;QC;H1J;46;DIVORCE;0;PROPRIETAIRE;PROP. D'ENTREPRISE
cli_id_00005;F;FRANCAIS;01AUG2007:00:00:00;QC;J5L;29;CELIBATAIRE;0;LOCATAIRE;ETUDIANT
cli_id_00006;F;ANGLAIS;01APR1997:00:00:00;ONT;K2V;30;MARIE;0;AUTRE;PROFESSION LIBERALE
cli_id_00007;M;ANGLAIS;01JUN2017:00:00:00;N-B;E2K;38;MARIE;0;LOCATAIRE;OUVRIER NON SPECIALISE
cli_id_00008;M;FRANCAIS;01OCT2012:00:00:00;QC;J2B;39;CELIBATAIRE;0;LOCATAIRE;OUVRIER NON SPECIALISE
cli_id_00009;F;FRANCAIS;01MAY2013:00:00:00;QC;H1G;22;CELIBATAIRE;0;AUTRE;ETUDIANT
cli_id_00010;F;FRANCAIS;01JUL2002:00:00:00;QC;J0L;74;MARIE;0;PROPRIETAIRE;RETRAITE
cli_id_00011;F;FRANCAIS;01MAR1982:00:00:00;QC;G0M;84;MARIE;0;PROPRIETAIRE;RETRAITE
cli_id_00012;M;FRANCAIS;01SEP2012:00:00:00;QC;G5V;35;CELIBATAIRE;0;LOCATAIRE;OUVRIER NON SPECIALISE
cli_id_00013;M;FRANCAIS;01SEP1984:00:00:00;QC;G1G;59;CONJOINT DE FAIT;1;PROPRIETAIRE;SECTEUR PUBLIQUE
cli_id_00014;M;ANGLAIS;01JUN2014:00:00:00;ONT;M1E;31;CELIBATAIRE;0;AUTRE;AUTRES
cli_id_00015;F;FRANCAIS;01MAY2012:00:00:00;QC;J6W;43;MARIE;0;PROPRIETAIRE;SECTEUR PUBLIQUE
cli_id_00016;M;FRANCAIS;01JUL2011:00:00:00;QC;G0J;42;CELIBATAIRE;3;PROPRIETAIRE;OUVRIER SPECIALISE
cli_id_00017;M;ANGLAIS;01MAY2011:00:00:00;ONT;K1H;41;MARIE;2;LOCATAIRE;SUPERVISEUR
cli_id_00018;M;FRANCAIS;01NOV2017:00:00:00;QC;G0C;68;MARIE;0;PROPRIETAIRE;RETRAITE
cli_id_00019;F;ANGLAIS;01JUL2018:00:00:00;ALB;T5P;51;MARIE;0;PROPRIETAIRE;ADMINISTRATEUR
cli_id_00020;M;FRANCAIS;01JUN2016:00:00:00;QC;G7A;26;CONJOINT DE FAIT;0;LOCATAIRE;OUVRIER NON SPECIALISE
cli_id_00021;F;FRANCAIS;01SEP1987:00:00:00;QC;J3E;49;CELIBATAIRE;0;AUTRE;AUTRES
cli_id_00022;M;FRANCAIS;01SEP1993:00:00:00;QC;H1Y;58;CONJOINT DE FAIT;1;PROPRIETAIRE;OUVRIER NON SPECIALISE
cli_id_00023;M;FRANCAIS;01JUN2003:00:00:00;QC;G5L;15;CELIBATAIRE;0;AUTRE;AUTRES
cli_id_00024;F;FRANCAIS;01OCT2005:00:00:00;QC;J1K;47;AUTRES;0;PROPRIETAIRE;AUTRES
cli_id_00025;M;FRANCAIS;01DEC1987:00:00:00;QC;H4R;52;AUTRES;0;LOCATAIRE;AUTRES
cli_id_00026;M;FRANCAIS;01OCT1985:00:00:00;QC;J7H;69;MARIE;0;PROPRIETAIRE;PROFESSION LIBERALE
cli_id_00027;M;FRANCAIS;01JAN1979:00:00:00;QC;G0S;88;MARIE;0;LOCATAIRE;RETRAITE
cli_id_00028;M;FRANCAIS;01SEP2017:00:00:00;QC;J7E;36;CELIBATAIRE;0;AUTRE;PROFESSION LIBERALE
cli_id_00029;F;FRANCAIS;01DEC1985:00:00:00;QC;J2W;50;CELIBATAIRE;0;LOCATAIRE;EMPLOYE DE BUREAU
cli_id_00030;F;FRANCAIS;01MAY1991:00:00:00;QC;J8H;69;MARIE;0;PROPRIETAIRE;RETRAITE
cli_id_00031;F;FRANCAIS;01NOV2002:00:00:00;QC;H1R;45;MARIE;0;PROPRIETAIRE;OUVRIER SPECIALISE
cli_id_00032;F;FRANCAIS;01FEB2013:00:00:00;QC;H1G;21;CELIBATAIRE;0;AUTRE;ETUDIANT
cli_id_00033;F;FRANCAIS;01OCT2015:00:00:00;N-B;E8E;30;MARIE;0;PROPRIETAIRE;OUVRIER NON SPECIALISE
cli_id_00034;M;FRANCAIS;01OCT1983:00:00:00;QC;H1A;55;CELIBATAIRE;0;PROPRIETAIRE;EMPLOYE DE BUREAU
cli_id_00035;M;FRANCAIS;01JUN2018:00:00:00;QC;J5K;27;CONJOINT DE FAIT;0;PROPRIETAIRE;AUTRES
cli_id_00036;F;FRANCAIS;01NOV1992:00:00:00;QC;J4K;59;CONJOINT DE FAIT;0;LOCATAIRE;EMPLOYE DE SERVICE
cli_id_00037;F;ANGLAIS;01JUN2002:00:00:00;ONT;L4T;47;CELIBATAIRE;0;AUTRE;AUTRES
cli_id_00038;F;FRANCAIS;01MAY2018:00:00:00;QC;J1N;37;CONJOINT DE FAIT;0;AUTRE;EMPLOYE DE BUREAU
cli_id_00039;M;FRANCAIS;01MAY1990:00:00:00;QC;J9Y;46;CONJOINT DE FAIT;2;PROPRIETAIRE;PROFESSION LIBERALE
cli_id_00040;M;FRANCAIS;01AUG1966:00:00:00;QC;G6W;76;AUTRES;0;PROPRIETAIRE;AUTRES
cli_id_00041;F;FRANCAIS;01DEC2014:00:00:00;QC;J1L;28;CONJOINT DE FAIT;0;PROPRIETAIRE;ADMINISTRATEUR
cli_id_00042;M;FRANCAIS;01NOV2015:00:00:00;QC;J0C;60;MARIE;0;PROPRIETAIRE;ADMINISTRATEUR
cli_id_00043;M;FRANCAIS;01DEC1995:00:00:00;QC;H3K;33;CELIBATAIRE;0;PROPRIETAIRE;AUTRES
cli_id_00044;M;ANGLAIS;01APR2013:00:00:00;ONT;M2L;84;MARIE;0;PROPRIETAIRE;AUTRES
cli_id_00045;F;FRANCAIS;01JUN1990:00:00:00;QC;J6V;48;MARIE;3;PROPRIETAIRE;MENAGERE
cli_id_00046;M;FRANCAIS;01DEC2010:00:00:00;QC;G8Z;53;CONJOINT DE FAIT;3;AUTRE;AUTRES
cli_id_00047;M;ANGLAIS;03JUL2018:00:00:00;ONT;M2R;42;AUTRES;0;N/D;AUTRES
cli_id_00048;F;ANGLAIS;01OCT1990:00:00:00;ONT;L5C;55;AUTRES;0;PROPRIETAIRE;CHOMEUR
cli_id_00049;F;FRANCAIS;01MAR2009:00:00:00;QC;G1E;40;CONJOINT DE FAIT;1;AUTRE;PROP. D'ENTREPRISE
cli_id_00050;F;FRANCAIS;01JAN1990:00:00:00;QC;J6A;61;MARIE;2;PROPRIETAIRE;PROP. D'ENTREPRISE
cli_id_00051;M;FRANCAIS;01OCT1981:00:00:00;QC;G0W;84;MARIE;0;CONVERSION;OUVRIER SPECIALISE
cli_id_00052;F;FRANCAIS;01MAR2013:00:00:00;QC;H1X;21;CELIBATAIRE;0;LOCATAIRE;AUTRES
cli_id_00053;F;FRANCAIS;01NOV2000:00:00:00;QC;G1J;44;CELIBATAIRE;0;LOCATAIRE;PROP. D'ENTREPRISE
cli_id_00054;F;FRANCAIS;01MAR1999:00:00:00;QC;H8S;86;MARIE;0;PROPRIETAIRE;AUTRES
