id_client;Date_traitement_BD;FinMois;prêt_hypothécaire;transit_admin;type_pret;mnt_pret;hyp_terme;hyp_amortis;taux_facture;date_creation;an_construction_imm;nbr_logements;num_transit_ouverture;date_debut_prêt;type;canal_admin;canal;canal_origine
cli_id_00016;2018-07-01;2018-07-31;hytp_0001;13641;PH;83449.8;60;300;2.74;2016-09-23;1975;1;13641;2016-10-08;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00031;2018-07-01;2018-07-31;hytp_0002;981;TEU;410000;48;360;2.34;2016-02-09;1970;3;981;2016-02-28;48 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00031;2018-07-01;2018-07-31;hytp_0003;981;TEU;235000;60;300;2.78;2017-09-07;1968;2;981;2017-10-20;60 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00055;2018-07-01;2018-07-31;hytp_0004;441;PH;187518.75;60;300;2.84;2013-08-06;1937;2;7871;2013-08-03;60 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00055;2018-07-01;2018-07-31;hytp_0005;441;PH;57506.24;24;300;2.69;2016-12-14;1937;2;441;2016-12-20;24 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00069;2018-07-01;2018-07-31;hytp_0006;14771;PH;230000;48;302;2.64;2012-11-01;1986;1;12101;2016-12-11;48 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00077;2018-07-01;2018-07-31;hytp_0007;461;PH;162500;12;300;0;2018-07-24;1993;1;461;2018-09-01;12 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00085;2018-07-01;2018-07-31;hytp_0008;10481;PH;323982.02;1;330;2.45;2015-08-19;0;1;10481;2015-07-28;Variable sans plafond 5 ans;Succursale hors Québec;Succursale hors Québec;Succursale hors Québec
cli_id_00092;2018-07-01;2018-07-31;hytp_0009;6311;TEU;137733.9;48;258;2.45;2014-06-26;2013;1;6971;2016-07-01;48 mois;Succursale Québec;UDI;DDH Québec
cli_id_00092;2018-07-01;2018-07-31;hytp_0010;6311;PH;96000;1;263;3.09;2015-03-13;1993;1;6311;2015-06-01;Variable sans plafond 5 ans;Succursale Québec;DDH Québec;DDH Québec
cli_id_00092;2018-07-01;2018-07-31;hytp_0011;6311;TEU;260000;24;300;2.99;2018-02-28;2013;1;6311;2018-03-01;24 mois;Succursale Québec;UDI;DDH Québec
cli_id_00109;2018-07-01;2018-07-31;hytp_0012;3811;PH;330000;60;360;2.44;2016-12-07;1973;1;7871;2016-12-08;60 mois;Succursale hors Québec;Courtier Québec;Courtier Québec
cli_id_00115;2018-07-01;2018-07-31;hytp_0013;1821;TEU;200000;60;274;1;2014-11-06;2010;1;1821;2016-12-10;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00116;2018-07-01;2018-07-31;hytp_0014;461;PH;140000;48;200;3.09;2009-10-30;1994;1;7871;2015-03-29;48 mois;Succursale Québec;Courtier Québec;Courtier Québec
cli_id_00118;2018-07-01;2018-07-31;hytp_0015;13041;PH;134739.68;48;287;2.84;2014-12-09;1968;1;9851;2016-01-09;48 mois;Succursale hors Québec;DDH hors Québec;DDH hors Québec
cli_id_00120;2018-07-01;2018-07-31;hytp_0016;10201;PH;234351.9;48;300;0;2018-07-31;2002;1;10201;2018-09-01;48 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00134;2018-07-01;2018-07-31;hytp_0017;10191;PH;40000;48;300;2.99;2014-05-29;1990;1;10191;2014-08-01;48 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00135;2018-07-01;2018-07-31;hytp_0018;18481;PH;449592.85;36;300;2.05;2009-11-19;0;8;18481;2015-02-10;36 mois;UDI;UDI;UDI
cli_id_00135;2018-07-01;2018-07-31;hytp_0019;18481;PH;332419.5;36;300;2.05;2009-11-19;0;8;18481;2015-02-10;36 mois;UDI;UDI;UDI
cli_id_00135;2018-07-01;2018-07-31;hytp_0020;18481;PH;897676.87;36;300;2.05;2009-11-19;0;19;18481;2015-02-10;36 mois;UDI;UDI;UDI
cli_id_00135;2018-07-01;2018-07-31;hytp_0021;18481;PH;333460.8;36;240;2.05;2009-11-19;0;6;18481;2015-02-10;36 mois;UDI;UDI;UDI
cli_id_00142;2018-07-01;2018-07-31;hytp_0022;4121;TEU;45000;60;240;4.79;2009-09-15;1956;1;4121;2014-10-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00142;2018-07-01;2018-07-31;hytp_0023;4121;TEU;21700;84;240;4.3;2012-06-11;1956;1;4121;2012-06-05;84 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00184;2018-07-01;2018-07-31;hytp_0024;13741;PH;113135.4;48;301;2.64;2012-06-27;1991;1;5761;2016-07-20;48 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00184;2018-07-01;2018-07-31;hytp_0025;13741;PH;113135.4;48;302;2.64;2012-06-27;1991;1;5761;2016-08-03;48 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00197;2018-07-01;2018-07-31;hytp_0026;10681;TEU;226000;1;307;2.9;2014-09-04;2001;1;7871;2014-09-05;Variable sans plafond 5 ans;Succursale Québec;Courtier Québec;Courtier Québec
cli_id_00201;2018-07-01;2018-07-31;hytp_0027;11791;PH;100000;1;105;3.1;2017-05-05;2006;1;11791;2017-05-15;Variable sans plafond 5 ans;Succursale Québec;DDH Québec;DDH Québec
cli_id_00205;2018-07-01;2018-07-31;hytp_0028;10201;PH;112000;1;73;3.1;2009-11-04;1986;1;5761;2017-05-14;Variable sans plafond 5 ans;Succursale Québec;DDH Québec;DDH Québec
cli_id_00209;2018-07-01;2018-07-31;hytp_0029;6841;TEU;295000;48;300;2.59;2015-11-26;2004;1;6841;2015-11-21;48 mois;Partenariat;Partenariat;Partenariat
cli_id_00210;2018-07-01;2018-07-31;hytp_0030;1711;TEU;108000;36;255;2.34;2014-04-11;1955;1;1711;2016-08-31;36 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00215;2018-07-01;2018-07-31;hytp_0031;13941;PH;214786.68;52;300;0;2018-05-23;1989;1;13941;2018-06-07;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00215;2018-07-01;2018-07-31;hytp_0032;13941;PH;14800;60;300;0;2018-05-23;1989;1;13941;2018-06-02;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00215;2018-07-01;2018-07-31;hytp_0033;13941;PH;252205.17;60;289;2.64;2012-09-25;1989;1;13941;2017-09-23;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00218;2018-07-01;2018-07-31;hytp_0034;2621;TEU;85000;60;142;3.19;2008-10-14;2008;1;6291;2018-02-15;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00229;2018-07-01;2018-07-31;hytp_0035;12191;PH;215000;36;252;3.19;2013-04-30;1990;1;5761;2018-05-01;36 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00232;2018-07-01;2018-07-31;hytp_0036;91;PH;250000;36;360;2.12;2016-09-07;1959;1;91;2016-09-12;36 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00232;2018-07-01;2018-07-31;hytp_0037;91;PH;22000;60;360;2.38;2016-09-07;1959;1;91;2016-09-10;60 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00233;2018-07-01;2018-07-31;hytp_0038;3141;TEU;433167.63;1;146;2.65;2012-12-06;2002;1;3141;2017-11-10;Variable sans plafond 5 ans;Succursale hors Québec;Succursale hors Québec;Succursale hors Québec
cli_id_00233;2018-07-01;2018-07-31;hytp_0039;3141;TEU;86663.38;1;146;2.65;2017-11-16;2002;1;3141;2017-11-10;Variable sans plafond 5 ans;Succursale hors Québec;Succursale hors Québec;Succursale hors Québec
cli_id_00235;2018-07-01;2018-07-31;hytp_0040;4331;PH;82764.23;60;151;2.58;2007-03-14;1989;1;4331;2016-09-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00235;2018-07-01;2018-07-31;hytp_0041;4331;PH;29735.77;60;151;2.58;2007-03-14;1989;1;4331;2016-10-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00235;2018-07-01;2018-07-31;hytp_0042;4331;PH;48000;60;168;2.84;2010-07-02;1989;1;4331;2015-07-02;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00269;2018-07-01;2018-07-31;hytp_0043;10251;TEU;200000;36;357;2;2016-12-16;2001;1;10251;2017-01-02;36 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00272;2018-07-01;2018-07-31;hytp_0044;12971;PH;55800;60;266;2.59;2014-09-22;0;1;12971;2017-10-01;60 mois;Succursale hors Québec;Succursale hors Québec;Succursale hors Québec
cli_id_00272;2018-07-01;2018-07-31;hytp_0045;12971;PH;341000;60;301;2.59;2012-09-10;0;1;12971;2017-10-01;60 mois;Succursale hors Québec;Succursale hors Québec;Succursale hors Québec
cli_id_00275;2018-07-01;2018-07-31;hytp_0046;13311;PH;198808.4;48;300;2.55;2015-08-19;1992;1;13311;2015-09-01;48 mois;Succursale hors Québec;DDH hors Québec;DDH hors Québec
cli_id_00289;2018-07-01;2018-07-31;hytp_0047;3191;PH;231192;60;360;2.35;2016-11-04;2016;1;3191;2016-11-15;60 mois;Succursale hors Québec;Succursale hors Québec;Succursale hors Québec
cli_id_00289;2018-07-01;2018-07-31;hytp_0048;3191;PH;300000;50;248;2.35;2017-10-05;2016;1;3191;2017-12-02;60 mois;Succursale hors Québec;Succursale hors Québec;Succursale hors Québec
cli_id_00312;2018-07-01;2018-07-31;hytp_0049;10501;PH;226366;48;300;2.5;2016-06-13;1956;1;10501;2016-07-10;48 mois;Succursale hors Québec;DDH Québec;DDH Québec
cli_id_00322;2018-07-01;2018-07-31;hytp_0050;5441;PH;189540;60;300;3.09;2014-05-16;2009;1;7871;2014-06-01;60 mois;Succursale hors Québec;Courtier Québec;Courtier Québec
cli_id_00330;2018-07-01;2018-07-31;hytp_0051;2191;TEU;105000;1;110;3.25;2015-11-27;1990;1;2191;2015-11-20;Variable sans plafond 5 ans;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00331;2018-07-01;2018-07-31;hytp_0052;1551;PH;190190;1;300;0;2018-06-21;1995;1;1551;2018-07-31;Variable sans plafond 5 ans;Succursale Québec;DDH Québec;DDH Québec
cli_id_00334;2018-07-01;2018-07-31;hytp_0053;14051;PH;165000;60;230;2.64;2012-02-08;1989;1;14001;2017-03-07;60 mois;Succursale hors Québec;Courtier hors Québec;Courtier hors Québec
cli_id_00344;2018-07-01;2018-07-31;hytp_0054;12191;TEU;115000;36;360;2.59;2016-06-20;2016;1;5761;2016-06-30;36 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00347;2018-07-01;2018-07-31;hytp_0055;101;PH;112000;1;323;3;2015-03-24;1987;1;101;2015-06-01;Variable sans plafond 5 ans;Succursale Québec;DDH Québec;DDH Québec
cli_id_00347;2018-07-01;2018-07-31;hytp_0056;101;PH;91000;1;323;3.04;2015-03-24;1987;1;101;2015-08-01;Variable sans plafond 5 ans;Succursale Québec;DDH Québec;DDH Québec
cli_id_00347;2018-07-01;2018-07-31;hytp_0057;101;PH;89000;39;360;2.99;2015-03-24;1987;1;101;2015-06-02;48 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00369;2018-07-01;2018-07-31;hytp_0058;12211;PH;146460;1;289;2.65;2017-08-21;1972;1;12211;2017-09-08;Variable sans plafond 5 ans;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00369;2018-07-01;2018-07-31;hytp_0059;12211;PH;145000;60;300;2.69;2017-08-21;1972;1;12211;2017-09-09;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
